timestamp,consumption_kwh,meter_id,location,temperature_c,is_weekend,is_outlier,date,hour,day_name,day_of_week
2025-03-01 00:00:00,0.962,MTR-003,Building-C,6.8,1,0,2025-03-01,0,Saturday,5
2025-03-01 00:30:00,0.958,MTR-002,Building-B,9.1,1,0,2025-03-01,0,Saturday,5
2025-03-01 01:00:00,0.926,MTR-003,Building-C,8.8,1,0,2025-03-01,1,Saturday,5
2025-03-01 01:30:00,0.803,MTR-001,Building-A,8.4,1,0,2025-03-01,1,Saturday,5
2025-03-01 02:00:00,1.121,MTR-001,Building-A,10.4,1,0,2025-03-01,2,Saturday,5
2025-03-01 02:30:00,0.595,MTR-003,Building-C,7.8,1,0,2025-03-01,2,Saturday,5
2025-03-01 03:00:00,0.792,MTR-003,Building-C,9.2,1,0,2025-03-01,3,Saturday,5
2025-03-01 03:30:00,1.122,MTR-003,Building-C,9.8,1,0,2025-03-01,3,Saturday,5
2025-03-01 04:00:00,0.904,MTR-001,Building-A,10.9,1,0,2025-03-01,4,Saturday,5
2025-03-01 04:30:00,0.9,MTR-001,Building-A,11.2,1,0,2025-03-01,4,Saturday,5
2025-03-01 05:00:00,1.162,MTR-001,Building-A,12.9,1,0,2025-03-01,5,Saturday,5
2025-03-01 05:30:00,1.111,MTR-003,Building-C,13.5,1,0,2025-03-01,5,Saturday,5
2025-03-01 06:00:00,2.733,MTR-003,Building-C,17.4,1,0,2025-03-01,6,Saturday,5
2025-03-01 06:30:00,2.292,MTR-002,Building-B,14.3,1,0,2025-03-01,6,Saturday,5
2025-03-01 07:00:00,2.003,MTR-002,Building-B,18.7,1,0,2025-03-01,7,Saturday,5
2025-03-01 07:30:00,2.527,MTR-001,Building-A,16.0,1,0,2025-03-01,7,Saturday,5
2025-03-01 08:00:00,2.664,MTR-002,Building-B,19.3,1,0,2025-03-01,8,Saturday,5
2025-03-01 08:30:00,2.087,MTR-002,Building-B,17.5,1,0,2025-03-01,8,Saturday,5
2025-03-01 09:00:00,2.275,MTR-001,Building-A,22.3,1,0,2025-03-01,9,Saturday,5
2025-03-01 09:30:00,1.836,MTR-001,Building-A,18.7,1,0,2025-03-01,9,Saturday,5
2025-03-01 10:00:00,1.574,MTR-001,Building-A,21.2,1,0,2025-03-01,10,Saturday,5
2025-03-01 10:30:00,1.888,MTR-003,Building-C,23.7,1,0,2025-03-01,10,Saturday,5
2025-03-01 11:00:00,1.865,MTR-002,Building-B,24.7,1,0,2025-03-01,11,Saturday,5
2025-03-01 11:30:00,1.575,MTR-003,Building-C,22.5,1,0,2025-03-01,11,Saturday,5
2025-03-01 12:00:00,1.943,MTR-001,Building-A,24.7,1,0,2025-03-01,12,Saturday,5
2025-03-01 12:30:00,1.941,MTR-001,Building-A,22.3,1,0,2025-03-01,12,Saturday,5
2025-03-01 13:00:00,2.159,MTR-003,Building-C,24.8,1,0,2025-03-01,13,Saturday,5
2025-03-01 13:30:00,1.53,MTR-003,Building-C,24.0,1,0,2025-03-01,13,Saturday,5
2025-03-01 14:00:00,1.864,MTR-002,Building-B,23.1,1,0,2025-03-01,14,Saturday,5
2025-03-01 14:30:00,1.478,MTR-003,Building-C,20.1,1,0,2025-03-01,14,Saturday,5
2025-03-01 15:00:00,1.074,MTR-002,Building-B,21.9,1,0,2025-03-01,15,Saturday,5
2025-03-01 15:30:00,1.346,MTR-003,Building-C,19.4,1,0,2025-03-01,15,Saturday,5
2025-03-01 16:00:00,2.229,MTR-002,Building-B,17.5,1,0,2025-03-01,16,Saturday,5
2025-03-01 16:30:00,1.715,MTR-003,Building-C,16.5,1,0,2025-03-01,16,Saturday,5
2025-03-01 17:00:00,2.336,MTR-003,Building-C,18.2,1,0,2025-03-01,17,Saturday,5
2025-03-01 17:30:00,2.329,MTR-002,Building-B,15.3,1,0,2025-03-01,17,Saturday,5
2025-03-01 18:00:00,2.075,MTR-001,Building-A,16.3,1,0,2025-03-01,18,Saturday,5
2025-03-01 18:30:00,2.739,MTR-002,Building-B,14.4,1,0,2025-03-01,18,Saturday,5
2025-03-01 19:00:00,2.508,MTR-003,Building-C,14.1,1,0,2025-03-01,19,Saturday,5
2025-03-01 19:30:00,2.521,MTR-001,Building-A,12.9,1,0,2025-03-01,19,Saturday,5
2025-03-01 20:00:00,2.967,MTR-001,Building-A,9.0,1,0,2025-03-01,20,Saturday,5
2025-03-01 20:30:00,2.754,MTR-003,Building-C,10.5,1,0,2025-03-01,20,Saturday,5
2025-03-01 21:00:00,1.458,MTR-002,Building-B,7.5,1,0,2025-03-01,21,Saturday,5
2025-03-01 21:30:00,1.343,MTR-003,Building-C,8.2,1,0,2025-03-01,21,Saturday,5
2025-03-01 22:00:00,1.324,MTR-001,Building-A,7.2,1,0,2025-03-01,22,Saturday,5
